연별 기후평년값(1991-2020),,,,,,,,,,,,,
ANNUAL NORMALS,,,,,,,,,,,,,
지점번호,지점명,"해면기압
(hpa)","기온(℃)
Temperature",,,상대습도(%),"평균증기압
(hPa)","평균풍속
(m/s)","운량
(1/10)","강수량
(mm)","증발량
(mm)","일조시간
(hr)",
,,,평균기온,최고기온,최저기온,,,,,,,,
401,서초,,13.7 ,18.5 ,9.7 ,,,1.4 ,,1305.1 ,,,
402,강동,,12.9 ,18.1 ,8.4 ,,,1.5 ,,1328.9 ,,,
403,송파,,13.9 ,18.4 ,9.9 ,,,1.7 ,,1294.1 ,,,
404,강서,,12.9 ,17.4 ,9.1 ,,,1.7 ,,1226.9 ,,,
405,양천,,13.7 ,18.2 ,10.0 ,,,1.5 ,,1207.7 ,,,
406,도봉,,12.4 ,17.9 ,7.5 ,,,1.1 ,,1472.6 ,,,
407,노원,,12.0 ,17.9 ,6.6 ,,,1.5 ,,1361.9 ,,,
408,동대문,,13.7 ,18.3 ,9.7 ,,,1.8 ,,1357.0 ,,,
409,중랑,,13.6 ,18.0 ,9.6 ,,,2.1 ,,1345.5 ,,,
410,기상청,,13.4 ,17.8 ,9.6 ,,,1.5 ,,1278.6 ,,,
411,마포,,13.5 ,17.9 ,9.8 ,,,2.3 ,,1272.7 ,,,
412,서대문,,12.4 ,17.8 ,8.2 ,,,1.6 ,,1234.4 ,,,
413,광진,,13.5 ,18.1 ,9.6 ,,,1.8 ,,1307.3 ,,,
414,성북,,12.6 ,17.1 ,8.6 ,,,1.6 ,,1385.0 ,,,
415,용산,,13.6 ,18.1 ,9.8 ,,,1.8 ,,1236.9 ,,,
416,은평,,12.3 ,17.4 ,7.7 ,,,1.7 ,,1224.5 ,,,
417,금천,,13.4 ,17.5 ,9.9 ,,,1.9 ,,1267.5 ,,,
419,중구,,11.9 ,16.7 ,8.2 ,,,2.2 ,,1117.3 ,,,
421,성동,,13.7 ,17.9 ,10.1 ,,,2.2 ,,1269.0 ,,,
423,구로,,12.8 ,17.7 ,8.6 ,,,1.9 ,,1258.1 ,,,
424,강북,,13.5 ,18.1 ,9.5 ,,,1.7 ,,1440.2 ,,,
425,남현,,12.4 ,17.2 ,8.1 ,,,1.3 ,,1432.8 ,,,
433,부천,,13.3 ,17.7 ,9.6 ,,,1.3 ,,1205.0 ,,,
434,안양,,13.1 ,17.3 ,9.4 ,,,2.2 ,,1294.9 ,,,
437,광명,,13.6 ,17.8 ,10.0 ,,,2.0 ,,1288.8 ,,,
438,군포,,13.3 ,17.8 ,9.5 ,,,1.5 ,,1327.6 ,,,
441,김포,,11.9 ,16.8 ,7.6 ,,,1.7 ,,1160.5 ,,,
444,하남,,12.6 ,18.1 ,7.8 ,,,0.9 ,,1110.6 ,,,
445,의왕,,11.9 ,16.9 ,7.3 ,,,1.1 ,,1314.0 ,,,
