기준일자,지역,발전소,발전량(Wh)
2021-11-27,일산,일산연료전지#4,76944000
2021-11-27,호남,호남연료전지,351048852
2021-11-28,동해,동해연료전지,350679168
2021-11-28,영광,영광지산풍력,928800
2021-11-28,울산,울산 수소연료전지,12260902
2021-11-28,울산,울산 연료전지 2단계,99123253
2021-11-28,일산,일산연료전지#4,73934400
2021-11-28,호남,호남연료전지,351047004
2021-11-29,동해,동해연료전지,350053984
2021-11-29,영광,영광지산풍력,4029600
2021-11-29,울산,울산 수소연료전지,12004422
2021-11-29,울산,울산 연료전지 2단계,98956928
2021-11-29,일산,일산연료전지#4,74928000
2021-11-29,호남,호남연료전지,350817264
2021-11-30,동해,동해연료전지,353014928
2021-11-30,영광,영광지산풍력,49953600
2021-11-30,울산,울산 수소연료전지,11547384
2021-11-30,울산,울산 연료전지 2단계,98837600
2021-11-30,일산,일산연료전지#4,75470400
2021-11-30,호남,호남연료전지,350553084
2021-12-01,동해,동해연료전지,351963696
2021-12-01,영광,영광지산풍력,59119200
2021-12-01,울산,울산 수소연료전지,10708523
2021-12-01,울산,울산 연료전지 2단계,99054558
2021-12-01,일산,일산연료전지#4,76147200
2021-12-01,호남,호남연료전지,351090894
2021-12-02,동해,동해연료전지,353537520
2021-12-02,영광,영광지산풍력,3213600
2021-12-02,울산,울산 수소연료전지,9611250
2021-12-02,울산,울산 연료전지 2단계,99079868
2021-12-02,일산,일산연료전지#4,79920000
2021-12-02,호남,호남연료전지,350982030
2021-12-03,동해,동해연료전지,352392096
2021-12-03,영광,영광지산풍력,43596000
2021-12-03,울산,울산 수소연료전지,9623784
2021-12-03,울산,울산 연료전지 2단계,98967776
2021-12-03,일산,일산연료전지#4,84273600
2021-12-03,호남,호남연료전지,350804832
2021-12-04,동해,동해연료전지,352878064
2021-12-04,영광,영광지산풍력,10591200
2021-12-04,울산,울산 수소연료전지,9504227
2021-12-04,울산,울산 연료전지 2단계,99040093
2021-12-04,일산,일산연료전지#4,77894400
2021-12-04,호남,호남연료전지,350954646
2021-12-05,동해,동해연료전지,352986704
2021-12-05,영광,영광지산풍력,1228800
2021-12-05,울산,울산 수소연료전지,9573644
2021-12-05,울산,울산 연료전지 2단계,99029245
2021-12-05,일산,일산연료전지#4,77611200
2021-12-05,호남,호남연료전지,350904330
2021-12-06,동해,동해연료전지,351838592
2021-12-06,영광,영광지산풍력,1872000
2021-12-06,울산,울산 수소연료전지,9543759
2021-12-06,울산,울산 연료전지 2단계,98884608
2021-12-06,일산,일산연료전지#4,74107200
2021-12-06,호남,호남연료전지,350637546
2021-12-07,동해,동해연료전지,351924048
2021-12-07,영광,영광지산풍력,5500800
2021-12-07,울산,울산 수소연료전지,9564004
2021-12-07,울산,울산 연료전지 2단계,98154220
2021-12-07,일산,일산연료전지#4,85833600
2021-12-07,호남,호남연료전지,350636874
2021-12-08,동해,동해연료전지,353677296
2021-12-08,영광,영광지산풍력,364800
2021-12-08,울산,울산 수소연료전지,9603533
2021-12-08,울산,울산 연료전지 2단계,98935232
2021-12-08,일산,일산연료전지#4,85862400
2021-12-08,호남,호남연료전지,350976864
2021-12-09,동해,동해연료전지,354005904
2021-12-09,영광,영광지산풍력,3861600
2021-12-09,울산,울산 수소연료전지,9563040
2021-12-09,울산,울산 연료전지 2단계,98877376
2021-12-09,일산,일산연료전지#4,85848000
2021-12-09,호남,호남연료전지,351144990
2021-12-10,동해,동해연료전지,353751664
2021-12-10,영광,영광지산풍력,4387200
2021-12-10,울산,울산 수소연료전지,9461796
2021-12-10,울산,울산 연료전지 2단계,98779749
2021-12-10,일산,일산연료전지#4,83347200
2021-12-10,호남,호남연료전지,351074304
2021-12-11,동해,동해연료전지,353534272
2021-12-11,영광,영광지산풍력,403200
2021-12-11,울산,울산 수소연료전지,9485902
2021-12-11,울산,울산 연료전지 2단계,98812289
2021-12-11,일산,일산연료전지#4,85646400
2021-12-11,호남,호남연료전지,351012186
2021-12-12,동해,동해연료전지,353246096
2021-12-12,영광,영광지산풍력,47294400
2021-12-12,울산,울산 수소연료전지,9473367
2021-12-12,울산,울산 연료전지 2단계,98801443
2021-12-12,일산,일산연료전지#4,85636800
2021-12-12,호남,호남연료전지,351077706
2021-12-13,동해,동해연료전지,352667840
2021-12-13,영광,영광지산풍력,18206400
2021-12-13,울산,울산 수소연료전지,4967614
2021-12-13,울산,울산 연료전지 2단계,98935232
2021-12-13,일산,일산연료전지#4,85632000
2021-12-13,호남,호남연료전지,351322692
2021-12-14,동해,동해연료전지,352583840
2021-12-14,영광,영광지산풍력,2443200
2021-12-14,울산,울산 수소연료전지,0
2021-12-14,울산,울산 연료전지 2단계,98899072
2021-12-14,일산,일산연료전지#4,85478400
2021-12-14,호남,호남연료전지,350924868
2021-12-15,동해,동해연료전지,352168656
2021-12-15,영광,영광지산풍력,554400
2021-12-15,울산,울산 수소연료전지,0
2021-12-15,울산,울산 연료전지 2단계,35358804
2021-12-15,일산,일산연료전지#4,85473600
2021-12-15,호남,호남연료전지,350622468
2021-12-16,동해,동해연료전지,353344096
2021-12-16,영광,영광지산풍력,4080000
2021-12-16,울산,울산 수소연료전지,0
2021-12-16,울산,울산 연료전지 2단계,20515989
2021-12-16,일산,일산연료전지#4,85440000
2021-12-16,호남,호남연료전지,350779170
2021-12-17,동해,동해연료전지,352611952
2021-12-17,영광,영광지산풍력,65200800
2021-12-17,울산,울산 수소연료전지,0
2021-12-17,울산,울산 연료전지 2단계,97268356
2021-12-17,일산,일산연료전지#4,85348800
2021-12-17,호남,호남연료전지,350869890
2021-12-18,동해,동해연료전지,351553888
2021-12-18,영광,영광지산풍력,2592000
2021-12-18,울산,울산 수소연료전지,0
2021-12-18,울산,울산 연료전지 2단계,97991512
2021-12-18,일산,일산연료전지#4,85334400
2021-12-18,호남,호남연료전지,350564844
2021-12-19,동해,동해연료전지,351024800
2021-12-19,영광,영광지산풍력,36962400
2021-12-19,울산,울산 수소연료전지,0
2021-12-19,울산,울산 연료전지 2단계,97904735
2021-12-19,일산,일산연료전지#4,85329600
2021-12-19,호남,호남연료전지,351088710
2021-12-20,동해,동해연료전지,348679744
2021-12-20,영광,영광지산풍력,1752000
2021-12-20,울산,울산 수소연료전지,0
2021-12-20,울산,울산 연료전지 2단계,97709480
2021-12-20,일산,일산연료전지#4,85382400
2021-12-20,호남,호남연료전지,350762202
2021-12-21,동해,동해연료전지,349478528
2021-12-21,영광,영광지산풍력,3736800
2021-12-21,울산,울산 수소연료전지,0
2021-12-21,울산,울산 연료전지 2단계,97449145
2021-12-21,일산,일산연료전지#4,85368000
2021-12-21,호남,호남연료전지,350558124
2021-12-22,동해,동해연료전지,353171280
2021-12-22,영광,영광지산풍력,1610400
2021-12-22,울산,울산 수소연료전지,0
2021-12-22,울산,울산 연료전지 2단계,97445531
2021-12-22,일산,일산연료전지#4,85339200
2021-12-22,호남,호남연료전지,350670306
2021-12-23,동해,동해연료전지,352473408
2021-12-23,영광,영광지산풍력,220800
2021-12-23,울산,울산 수소연료전지,19284
2021-12-23,울산,울산 연료전지 2단계,97347902
2021-12-23,일산,일산연료전지#4,82022400
2021-12-23,호남,호남연료전지,350759850
2021-12-24,동해,동해연료전지,353329200
2021-12-24,영광,영광지산풍력,31716000
2021-12-24,울산,울산 수소연료전지,5463215
2021-12-24,울산,울산 연료전지 2단계,97308129
2021-12-24,일산,일산연료전지#4,77332800
2021-12-24,호남,호남연료전지,349143312
2021-12-25,동해,동해연료전지,352849504
2021-12-25,영광,영광지산풍력,72825600
2021-12-25,울산,울산 수소연료전지,10387444
2021-12-25,울산,울산 연료전지 2단계,97409368
2021-12-25,일산,일산연료전지#4,73204800
2021-12-25,호남,호남연료전지,348305916
2021-12-26,동해,동해연료전지,351990464
2021-12-26,영광,영광지산풍력,5784000
2021-12-26,울산,울산 수소연료전지,10346942
2021-12-26,울산,울산 연료전지 2단계,97427451
2021-12-26,일산,일산연료전지#4,66456000
2021-12-26,호남,호남연료전지,349457262
2021-12-27,동해,동해연료전지,350781984
2021-12-27,영광,영광지산풍력,700800
2021-12-27,울산,울산 수소연료전지,10280411
2021-12-27,울산,울산 연료전지 2단계,97416605
2021-12-27,일산,일산연료전지#4,61742400
2021-12-27,호남,호남연료전지,350836458
2021-12-28,동해,동해연료전지,349265616
2021-12-28,영광,영광지산풍력,50400
2021-12-28,울산,울산 수소연료전지,10181098
2021-12-28,울산,울산 연료전지 2단계,97380447
2021-12-28,일산,일산연료전지#4,68289600
2021-12-28,호남,호남연료전지,350525448
2021-12-29,동해,동해연료전지,351941968
2021-12-29,영광,영광지산풍력,24765600
2021-12-29,울산,울산 수소연료전지,10129992
2021-12-29,울산,울산 연료전지 2단계,97282816
2021-12-29,일산,일산연료전지#4,72158400
2021-12-29,호남,호남연료전지,350184492
2021-12-30,동해,동해연료전지,353445120
2021-12-30,영광,영광지산풍력,48727200
2021-12-30,울산,울산 수소연료전지,10170491
2021-12-30,울산,울산 연료전지 2단계,97271968
2021-12-30,일산,일산연료전지#4,72868800
2021-12-30,호남,호남연료전지,350354928
2021-12-31,동해,동해연료전지,352884784
2021-12-31,영광,영광지산풍력,26460000
2021-12-31,울산,울산 수소연료전지,10176278
2021-12-31,울산,울산 연료전지 2단계,97268352
2021-12-31,일산,일산연료전지#4,76228800
2021-12-31,호남,호남연료전지,350254170
2022-01-01,동해,동해연료전지,351910160
2022-01-01,영광,영광지산풍력,501600
2022-01-01,울산,울산 수소연료전지,10145423
2022-01-01,울산,울산 연료전지 2단계,97290048
2022-01-01,일산,일산연료전지#4,76243200
2022-01-01,호남,호남연료전지,350123046
2022-01-02,동해,동해연료전지,350737744
2022-01-02,영광,영광지산풍력,8364000
2022-01-02,울산,울산 수소연료전지,10055750
2022-01-02,울산,울산 연료전지 2단계,97224960
2022-01-02,일산,일산연료전지#4,76334400
2022-01-02,호남,호남연료전지,350190456
2022-01-03,동해,동해연료전지,350612864
2022-01-03,영광,영광지산풍력,225600
2022-01-03,울산,울산 수소연료전지,10026821
2022-01-03,울산,울산 연료전지 2단계,97210499
2022-01-03,일산,일산연료전지#4,76310400
2022-01-03,호남,호남연료전지,350237622
2022-01-04,동해,동해연료전지,314217680
2022-01-04,영광,영광지산풍력,10680000
2022-01-04,울산,울산 수소연료전지,9977653
2022-01-04,울산,울산 연료전지 2단계,97203264
2022-01-04,일산,일산연료전지#4,76185600
2022-01-04,호남,호남연료전지,350011620
2022-01-05,동해,동해연료전지,351216880
2022-01-05,영광,영광지산풍력,554400
2022-01-05,울산,울산 수소연료전지,5859508
2022-01-05,울산,울산 연료전지 2단계,97196036
2022-01-05,일산,일산연료전지#4,76017600
2022-01-05,호남,호남연료전지,349848702
2022-01-06,동해,동해연료전지,352403632
